"DyadResponse","IDIndividual1","IntruderID","Behavior_Not_approaching","Behavior_Losing_interest"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Losing interest","Buk","No Intrusion","Other Behavior","Buk"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Buk","No Intrusion","Buk","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Buk","No Intrusion","Buk","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Buk","No Intrusion","Buk","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Buk","No Intrusion","Buk","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Buk; Ndaw","Gubh","Buk; Ndaw","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Buk","No Intrusion","Buk","Other Behavior"
"Not approaching","Buk","No Intrusion","Buk","Other Behavior"
"Not approaching","Buk","No Intrusion","Buk","Other Behavior"
"Not approaching","Buk","No Intrusion","Buk","Other Behavior"
"Not approaching","Buk","No Intrusion","Buk","Other Behavior"
"Not approaching","Buk","No Intrusion","Buk","Other Behavior"
"Losing interest","Buk; Ndaw","No Intrusion","Other Behavior","Buk; Ndaw"
"Losing interest","Buk","No Intrusion","Other Behavior","Buk"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Buk","No Intrusion","Buk","Other Behavior"
"Not approaching","Buk","No Intrusion","Buk","Other Behavior"
"Not approaching","Buk","No Intrusion","Buk","Other Behavior"
"Not approaching","Buk","No Intrusion","Buk","Other Behavior"
"Not approaching","Buk","No Intrusion","Buk","Other Behavior"
"Not approaching","Buk","No Intrusion","Buk","Other Behavior"
"Not approaching","Buk","No Intrusion","Buk","Other Behavior"
"Not approaching","Buk","No Intrusion","Buk","Other Behavior"
"Not approaching","Ndaw, Buk","No Intrusion","Ndaw, Buk","Other Behavior"
"Not approaching","Buk","No Intrusion","Buk","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Ndaw; Buk","No Intrusion","Ndaw; Buk","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Buk","No Intrusion","Buk","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Buk","No Intrusion","Buk","Other Behavior"
"Not approaching","Buk","No Intrusion","Buk","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Buk","No Intrusion","Buk","Other Behavior"
"Not approaching","Buk","No Intrusion","Buk","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Buk","No Intrusion","Buk","Other Behavior"
"Not approaching","Buk","No Intrusion","Buk","Other Behavior"
"Not approaching","Buk","No Intrusion","Buk","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Buk","No Intrusion","Buk","Other Behavior"
"Not approaching","Buk","No Intrusion","Buk","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Buk","No Intrusion","Buk","Other Behavior"
"Not approaching","Buk","No Intrusion","Buk","Other Behavior"
"Not approaching","Buk","No Intrusion","Buk","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Buk","No Intrusion","Buk","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Not approaching","Ndaw","No Intrusion","Ndaw","Other Behavior"
"Losing interest","Oort","No Intrusion","Other Behavior","Oort"
"Not approaching","Kom","No Intrusion","Kom","Other Behavior"
"Not approaching","Kom","No Intrusion","Kom","Other Behavior"
"Not approaching","Kom","No Intrusion","Kom","Other Behavior"
"Not approaching","Oort; Kom","No Intrusion","Oort; Kom","Other Behavior"
"Not approaching","Oort","No Intrusion","Oort","Other Behavior"
"Not approaching","Kom","No Intrusion","Kom","Other Behavior"
"Not approaching","Kom","No Intrusion","Kom","Other Behavior"
"Not approaching","Oort","No Intrusion","Oort","Other Behavior"
"Not approaching","Kom","No Intrusion","Kom","Other Behavior"
"Not approaching","Kom","No Intrusion","Kom","Other Behavior"
"Not approaching","Oort","No Intrusion","Oort","Other Behavior"
"Not approaching","Oort","No Intrusion","Oort","Other Behavior"
"Not approaching","Kom","No Intrusion","Kom","Other Behavior"
